,purpose_en,start_date,end_date,destination_en,airfare,other_transport,lodging,meals,other_expenses,total,additional_comments_en
6002,To attend U.S. Customs Border Protection Suicide Prevention Event,2018-09-12,2018-09-13,"Niagara Falls, Ontario, Canada Lewiston, New York, United States",544.26,16.24,153.63,175.45,0.0,889.58,Amendment; HRG fees adjusted.
6014,Attend Border Five working group.,2019-06-16,2019-06-19,"Vancouver, British Columbia, Canada",1309.8,102.65,679.16,194.2,0.0,2285.81,Amendment; HRG fees added.
6018,Tour CBSA facilities and meet with Strategic Policy Branch employees,2019-06-18,2019-06-19,"Toronto, Ontario, Canada",1097.96,108.45,175.1,176.5,0.0,1558.01,The airfare was amended to include the cost of future travel credit. Tour of the Southern Ontario Region was cancelled. Future travel credit of $ 305.37 was issued. 
6022,Regional visit,2019-06-24,2019-06-26,"Toronto, Ontario, Canada",761.41,382.11,411.5,275.0,0.0,1830.02,Amendment
6024,Visit of operational activities and attend Functional Management Model & Nationalization Engagement Session,2019-07-22,2019-07-24,"Vancouver, British Columbia, Canada",1046.47,17.6,1144.98,275.0,0.0,2484.05,Amendment
6028,Visit to Lacolle - Cancelled trip,2018-02-23,2018-02-23,"Montréal, Quebec, Canada",96.79,0.0,0.0,0.0,0.0,96.79,HRG Fees
6030,Visit various sites as part of Audit Comitee activities ,2019-08-13,2019-08-14,"Montréal, Quebec, Canada",0.0,202.7,232.05,166.45,0.0,601.2,Other transportation was amended. 
6033,To participate in the World Customs Organization Council Session in Brussels and Canada Border Services Agency Functional Management Meeting engagement sessions in the Atlantic Region,2019-06-25,2019-07-06,"Brussels, Belgium And Halifax, Nova Scotia",7854.95,983.52,1074.85,804.14,0.0,10717.46,The airfare was amended.
6048,To visit the West Coast & Yukon District and the Okanagan & Kootenay District,2019-10-15,2019-10-18,"Vancouver, British-columbia, Canada",3557.72,0.0,1321.56,364.3,0.0,5243.58,The airfare was amended.
6050,Visit the Atlantic regional office and operational sites,2019-10-23,2019-10-25,"Halifax, Nova Scotia, Canada",913.32,90.0,585.33,234.9,0.0,1823.55,Amendment to airfare.
6052,To attend a workshop on Advanced Alternative Dispute Resolutions,2019-10-28,2019-11-01,"Toronto, Ontario, Canada",243.12,149.53,916.64,288.7,0.0,1597.99,The airfare was amended.
6056,To chair the Trade Chain Partner Working Group,2019-12-11,2019-12-11,"Mississauga, Ontario, Canada",654.89,44.69,0.0,0.0,0.0,699.58,The airfare was amended.
6060,To brief Minister Blair on Budget 2020. ,2020-01-16,2020-01-16,"Toronto, Ontario, Canada",680.05,0.0,0.0,0.0,0.0,680.05,The trip was cancelled.
6061,To brief Minister Blair on Budget 2020. ,2020-01-16,2020-01-16,"Toronto, Ontario, Canada",51.98,0.0,0.0,0.0,0.0,51.98,The trip was cancelled.
6072,To present at the Border Five (B5) Deep Dive Meeting,2020-02-11,2020-02-11,"Montréal, Quebec, Canada",24.86,282.93,0.0,50.55,0.0,358.34,The airfare cost was amended. The flight was cancelled and a train ticket was purchased. The future travel credit issued for the flight cancellation was refunded. 
6077,To attend Border Five (B5) Chief Information Officer Technology Forum,2020-02-11,2020-02-11,"Montréal, Quebec, Canada",1013.58,0.0,0.0,0.0,0.0,1013.58,The trip was cancelled.
6091,To attend the Transatlantic Council on Migration,2020-03-10,2020-03-14,"London, United Kingdom",699.44,0.0,0.0,0.0,0.0,699.44,The conference was cancelled due to the COVID-19 pandemic. The expense is for a flight cancellation fee and HRG fee.
6092,To co-chair the Women's Advisory Committee meeting,2019-09-16,2019-09-17,"Toronto, Ontario, Canada",699.07,0.0,0.0,0.0,0.0,699.07,The meeting was cancelled. A future travel credit of $ 588.33 was issued due to the flight cancellation. 
6098,To attend a training course,2020-03-22,2020-03-28,"Regina, Saskatchewan, Canada",848.22,0.0,0.0,0.0,0.0,848.22,The trip was cancelled due to the COVID-19 pandemic. 
6108,To visit and tour Pearson Airport and to meet Border Services Officers and Managers in the Greater Toronto Area Region,2021-09-02,2021-09-02,"Toronto, Ontario, Canada",493.16,0.0,0.0,73.75,0.0,566.91,Amendment to airfare: Future travel credit was applied.
6134,Operational Activities,2022-06-06,2022-06-09,"Vancouver, British Columbia",520.17,138.42,508.08,347.25,146.05,1659.97,Credits from a cancelled trip were used which reduced the cost of the airfare
7957,Various meetings,2016-11-14,2016-11-16,Gatineau (québec) And Ottawa (ontario) Canada,0.0,355.89,334.08,165.95,0.0,855.92,"Additional costs claimed for ""Other transport"""
8815,Participation in the APEX Symposium 2017 and various meetings,2017-06-06,2017-06-09,Ottawa (ontario) And Gatineau (québec) Canada,0.0,214.82,590.1,312.65,6.78,1124.35,Other expenses - Telephone (office)
8845,Various meetings,2018-03-20,2018-03-22,Gatineau (québec) And Ottawa (ontario) Canada,0.0,94.1,357.0,288.85,5.25,745.2,Reservation service fees
8856,Various meetings,2018-03-15,2018-03-16,Gatineau (québec) And Ottawa (ontario) Canada,0.0,328.91,186.86,138.85,2.04,656.66,Hotel local phone call
8868,Attendance at the Gartner Customer Strategies & Technologies Summit,2018-05-22,2018-05-27,"London, United Kingdom",964.28,344.4,1397.56,913.28,210.0,3829.52,Dependant care fee
8869,Attendance at Community Futures Network of Canada 2018 National Congress,2018-06-07,2018-06-08,Winnipeg (manitoba) Canada,708.84,205.36,201.03,208.2,70.0,1393.43,Dependant care fee
8874,Bayview Digital Prototype training,2018-08-27,2018-08-29,Ottawa (ontario) Canada,0.0,319.89,531.01,273.65,225.0,1349.55,Dependant care fee
8878,Various meetings,2018-05-27,2018-05-30,Ottawa (ontario) Canada,0.0,127.0,566.37,319.9,105.0,1118.27,1. Train cost not previously claimed 2. Dependant care fee
8884,Various meetings,2018-09-20,2018-09-21,Ottawa (ontario) And Gatineau (québec) Canada,0.0,352.53,201.12,169.55,150.0,873.2,Dependant care fee
8885,Various meetings,2018-09-26,2018-09-27,Gatineau (québec) And Ottawa (ontario) Canada,0.0,367.69,304.38,121.4,75.0,868.47,Dependant care fee
8888,Various meetings,2018-10-11,2018-10-12,Ottawa (ontario) Canada,0.0,349.47,172.55,144.55,75.0,741.57,Dependant care fee
8895,Attendance at a special meeting of the Assistant Deputy Ministers,2018-11-13,2018-11-14,Ottawa (ontario) Canada,0.0,357.39,50.0,124.7,75.0,607.09,Dependant care fee
8897,Filling in for the Deputy Minister at the head table at the Aéro Montréal 2019 Economic Trends event,2018-11-26,2018-11-26,Montréal (québec) Canada,0.0,133.42,0.0,0.0,75.0,208.42,Dependant care fee
8907,Various meetings,2018-12-04,2018-12-05,Ottawa (ontario) Canada,0.0,352.18,201.95,124.7,75.0,753.83,Dependant care fee
8908,Various meetings,2018-12-07,2018-12-07,Ottawa (ontario) Canada,0.0,320.92,0.0,40.1,75.0,436.02,Dependant care fee
8910,"Participation at the Aerospace Industries Association of Canada's Aerospace Engagement Day, Vision 2025",2018-12-13,2018-12-13,Montréal (québec) Canada,0.0,9.0,0.0,0.0,3.0,12.0,Cloakroom fee
8911,Various meetings and Assistant Deputy Ministers networking dinner,2019-01-14,2019-01-15,Montréal (québec) Canada,0.0,0.0,152.31,0.0,0.0,152.31,More cost effective to remain in town
8913,Participation at the Canada School of Public Service event on the 2008 Financial Crisis,2019-01-28,2019-01-29,Ottawa (ontario) Canada,0.0,393.92,210.36,104.85,75.0,784.13,Dependant care fee
8970,Various meetings,2019-10-02,2019-10-03,"Quebec, Quebec And Ottawa, Ontario, Canada",464.61,0.0,243.95,176.65,0.0,885.21,Additional fees invoiced and paid in P8 
8971,Attend 5G Conference,2019-09-25,2019-09-26,"Ottawa, Ontario, Canada",0.0,0.0,177.06,0.0,0.0,177.06,Conference and itinerary cancelled however hotel cost non-redeemable
9075,Meeting with VRO staff and stakeholders,2019-06-02,2019-06-05,"Vancouver/victoria, Bc, Canada",740.51,126.79,577.68,413.05,0.0,1858.03,Meeting with VRO staff and stakeholders
9086,TMX IAMC meeting,2019-07-30,2019-07-30,"Edmonton, Alberta, Canada",0.0,0.0,0.0,70.75,0.0,70.75,Meetings
9089,"Conduct Baseline assessments of facilities, IT solutions and HR service requirements  ",2019-07-22,2019-07-26,"Montréal, Quebec, Canada",743.5,381.87,947.28,471.6,106.0,2650.25,Montreal Regional Office
9090,"Conduct Baseline assessments of facilities, IT solutions and HR service requirements  ",2019-07-10,2019-07-14,"Vancouver, British Columbia, Canada",724.34,232.72,470.02,292.3,80.53,1799.91,Vancouver Regional Office
9097,Attend the IAMC-TMX Committee Meeting #20,2019-09-10,2019-09-12,"Vancouver, British Columbia, Canada",627.8,168.5,445.44,203.85,31.5,1477.09,Other - baggage
9101,"Budget 2020 meetings with NRCan, TBS, PCO ",2019-09-10,2019-09-12,"Ottawa, Ontario, Canada",341.53,249.87,585.24,285.05,19.95,1481.64,Other - seat selection
9110,Ottawa Meetings,2019-09-10,2019-09-13,"Ottawa, Ontario, Canada",482.2,332.64,830.86,413.7,22.58,2081.98,Other - Hotel Internet
9133,Internal Governance - Callback,2019-10-25,2019-10-25,"Calgary, Alberta, Canada",1258.51,0.0,0.0,0.0,0.0,1258.51,Reimbursement of personal vacation flight due to mandatory call back to CER headquarters due to modernization
9135,Relocation expenses ,2019-10-21,2019-11-02,"Calgary, Alberta, Canada",707.55,76.29,2584.85,1461.1,0.0,4829.79,Relocation final phase. 
9144,Speak at the FWD50 conference and meet with external stakeholders,2019-11-04,2019-11-06,"Ottawa, Ontario, Canada",996.87,235.39,470.08,265.35,884.1,2851.79,"Total travel costs for this activity was $1,967.69-the additional $884.10 in Other Expenses relate to intial flight costs. A change in flights was required and this expense has been credited to CER to apply against future travel. "
9155,CCAT Adjudication Course,2020-01-12,2020-01-17,"Ottawa, Ontario, Canada",1214.98,162.33,1151.7,550.05,0.0,3079.06,"Two E-Tickets were incorrectly issued by HRG, one in the amount of $775.95 and the other in the amount of $390.73.  We wil be receiving a credit for the $390.73 fare. "
9159,"Meetings, Onboarding and Training",2019-11-21,2019-11-22,"Calgary, Alberta, Canada",839.67,408.24,196.47,156.3,0.0,1600.68,"This trip was originally planned for 21-27 November, but was changed to 21-22 November."
9163,Meeting with TMX-IAMC ,2019-11-22,2019-11-22,"Vancouver, British Columbia, Canada",273.55,136.35,0.0,70.9,0.0,480.8,CER travel credit was applied for and was successful.
9164,Meeting with TMX-IAMC ,2019-12-03,2019-12-05,"Vancouver, British Columbia, Canada",584.45,206.53,350.14,244.25,21.0,1406.37,Other expenses = seat selection
9167,Offsite Regulatory Policy meeting,2019-12-10,2019-12-10,"Calgary, Alberta, Canada",0.0,17.8,0.0,0.0,0.0,17.8,taxi recipts (there and back)
9180,Board of Directors' Meetings,2019-09-22,2019-09-25,"Calgary, Alberta, Canada",0.0,33.75,0.0,0.0,0.0,33.75,Toll charges 
9193,CCAT Adjudication Course,2020-01-12,2020-01-17,"Ottawa, Ontario, Canada",0.0,35.63,0.0,0.0,0.0,35.63,Missed transportation expenses on previous reporting
9198,Board of Directors Meetings,2020-02-19,2020-02-22,"Calgary, Alberta, Canada",2228.79,264.43,577.48,231.85,0.0,3302.55,There's a credit of $664.30 on the airfare.
9200,Board of Directors Meetings,2019-11-24,2019-11-25,"Calgary, Alberta, Canada",0.0,21.82,0.0,0.0,0.0,21.82,Missed taxi receipts on a previous reporting
9207,Kick Off Meeting TMX Spread 1 Construction,2019-10-22,2019-10-23,"Edmonton, Alberta, Canada",0.0,139.37,184.13,156.05,0.0,479.55,Rented a car to drive to Edmonton rather than flying - no airfare charges
9210,IAMC Committee Meeting and IAMC Monitoring Leadership Table Meeting,2020-01-28,2020-01-31,"Victoria And Abbotsford, British Columbia, Canada",887.32,283.49,418.29,332.45,135.45,2057.0,Other = baggage & seat selection
9221,NGTL Edson Mainline Expansion Project OIK Hearing,2020-02-24,2020-02-28,"Edmonton, Alberta, Canada",0.0,294.98,669.12,390.7,0.0,1354.8,"W. Jacknife drive from Cold Lake to Edmonton, the location of the Hearing."
9223,French Language Immersion Training,2020-03-22,2020-04-02,"Montréal, Quebec, Canada",1116.79,0.0,0.0,0.0,0.0,1116.79,"Trip was canceled due to COVID-19, airfare and associated costs were paid, CER received travel voucher. There was a delay in reporting due to confirmation of reporting requirements for COVID-related deferred expenses."
9230,Enbridge Hearing,2021-07-09,2021-07-17,"Calgary, Alberta, Canada",0.0,0.0,0.0,0.0,15.75,15.75,Additional parking fee charge that was missed in previous expense report
9231,Enbridge Hearing,2021-07-09,2021-07-17,"Calgary, Alberta, Canada",0.0,687.5,978.96,590.0,138.4,2394.86,Enbridge Hrg in Calgary
9233,ICD training,2022-03-27,2022-03-31,"Vancouver, Bc",450.93,124.94,935.32,341.45,63.0,1464.71,Travel for the training
9253,IAMC TMX Committee Meeting #44,2022-03-29,2022-03-31,"Vancouver, British Columbia, Canada",741.94,105.84,536.58,318.4,0.0,1702.76,"Of total airfare, $246.08 was paid for by traveller"
9254,IAIA Conference,2022-05-04,2022-05-06,"Vancouver, British Columbia, Canada",619.76,142.36,599.28,325.35,31.5,1718.25,Other Expenses = Baggage Fees
9255,IM IO Gathering on the Lan,2022-07-05,2022-07-07,"Calgary, Ab (tsuut'ina Area), Canada",0.0,60.95,0.0,0.0,0.0,60.95,combined PMV to gathering daily on July 05 to 07
9256,IAMC TMX Committee Meeting # 45,2022-05-18,2022-05-19,"Edmonton, Alberta, Canada",0.0,192.37,157.57,209.35,0.0,559.29,"Other transportation includes pmv, car rental, fuel"
9266,IAMC TMX Committee Meeting #46,2022-08-30,2022-09-02,"Victoria, British Columbia, Canada",470.83,217.69,727.18,386.7,154.08,1956.48,"fuel for rental vehicle, baggage fee, hotel parking, booking fee"
9268,Stakeholder Engagement meetings,2022-08-16,2022-08-19,"Regina, Saskatchewan, Canada",797.63,618.53,314.61,342.4,26.25,2099.42,"Other transportation included car rental, fuel and taxi"
9269,Stakeholder Engagement - meetings,2022-04-29,2022-05-04,"Vancouver, British Columbia, Canada",1503.07,179.59,666.21,254.44,79.8,2683.11,other expenses includes online booking fee
9270,Operational Engagement - Meetings,2022-07-12,2022-07-14,"Vancouver, British Columbia, Canada",800.36,199.76,608.66,258.9,26.26,1893.94,other expenses includes online booking fee
9271,Stakeholder Engagement - Meetings,2022-05-29,2022-05-31,"Vancouver, British Columbia, Canada",766.96,126.66,538.16,259.15,51.45,1742.38,other expenses includes online booking fee
9278,Line 3 IAMC Meetings,2022-10-04,2022-10-06,"Winnipeg, Manitoba, Canada",482.21,201.99,548.72,290.35,64.8,1588.07,A rental car was required as there was travel outside of Winnipeg.  
9284,Land Access Workshop/Meetings with NRCan,2022-10-22,2022-10-26,"Ottawa, Ontario, Canada",907.11,273.47,960.14,455.95,0.0,2596.67,Oct. 23 was a personal day
